title;count;image-src;price;category;availability
Вино Инкерман Кагор Украинский красное крепленое десертное сладкое 16% 0,75л;750 мл;https://img2.zakaz.ua/20190422.1555941378.ad72436478c_2019-04-22_Tatiana/20190422.1555941378.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;78,5;Вино;Нет в наличии
Коньяк Martell VSOP 40% 0,7л + 2 бокала в подарочной упаковке;700 мл;https://img2.zakaz.ua/20190715.1562909223.ad72436478c_2019-07-15_Pavel_Fozzy_Alexey/20190715.1562909223.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;1047,51;Крепкий алкоголь;Нет в наличии
Водка особая Воздух легкая 40% 0,2л;200 мл;https://img3.zakaz.ua/zakaz-Lenovo-ideapad-320.1554817333.ad72436478c_2019-08-07_Kostia_METRO_Alexey/zakaz-Lenovo-ideapad-320.1554817333.SNDDE581.obj.0.9.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;35,9;Крепкий алкоголь;Добавить в корзину
Виски Chivas Regal 12 лет 40% 0,7л + 2 эксклюзивных стакана в подарочной упаковке;700 мл;https://img3.zakaz.ua/20190415.1555314390.ad72436478c_2019-04-15_Tatiana/20190415.1555314390.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;1049,9;Крепкий алкоголь;Добавить в корзину
Вино красное Масандра Портвейн Красный Южнобережный крепленое крепкое марочное 18% стеклянная бутылка 750мл Украина;750 мл;https://img3.zakaz.ua/Be.1298028941.ff7fb3d7/Be.1298028941.SNB6D069.obj.0.5.jpg.oe.jpg.pf.jpg.350x.jpg;61,89;Вино;Нет в наличии
Вино белое Крикова Шардоне натуральное виноградное ординарное сортовое столовое сухое 14% тетрапакет 2000мл Молдавия;2 л;https://img2.zakaz.ua/zakaz-1001PXD.1377936049.ad72436478c_2013-09-03/zakaz-1001PXD.1377936049.SNFB30AD.obj.0.8.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;99,9;Вино;Нет в наличии
Пиво Warshteiner Premium светлое ж/б 4.8% 0,5л;500 мл;https://img3.zakaz.ua/src.1573136824.ad72436478c_2019-11-07_Yulia_G/src.1573136824.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;39,9;Пиво;Добавить в корзину
Вино Los Pagos Карменер красное сухое 0,75л;750 мл;https://img2.zakaz.ua/20160126.1453803024.ad72436478c_2016-01-26_Yana/20160126.1453803024.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;109;Вино;Добавить в корзину
LONGMIXER С/А НАП. 0,33 Л КАКТУС;330 мл;https://img2.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1463821127.ad72436478c_2016-05-23_vitaliy/zakaz-2-HP-630-Notebook-PC.1463821127.SNDDE581.obj.0.7.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;8,96;Слабоалкогольные напитки;Нет в наличии
Шампанское Moet&Chandon Grand Vintage Extra Brut белое сухое Brut 12% 0,75л;750 мл;https://img2.zakaz.ua/1001PX.1417507370.ad72436478c_2014-12-05_vitaliy/1001PX.1417507370.SNDDE581.obj.0.2.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;1599,9;Шампанское и игристое вино;Нет в наличии
Водка Finlandia Клюква белая 37.5% 0,5л;500 мл;https://img3.zakaz.ua/src.1561124902.ad72436478c_2019-06-21_Alina/src.1561124902.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;186,9;Крепкий алкоголь;Добавить в корзину
Коньяк Коблево 4 звезды 40% 0,5л;500 мл;https://img2.zakaz.ua/20191208.1565590533.ad72436478c_2019-08-12_Tatiana/20191208.1565590533.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;139,9;Крепкий алкоголь;Добавить в корзину
SCALLYWAG ВІСКІ 46% 0,7Л;700 мл;https://img3.zakaz.ua/1.1563557489.ad72436478c_2019-07-19_Listex/1.1563557489.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;1569,9;Крепкий алкоголь;Нет в наличии
